From	To	Species	Gene Name
229354_at	AHRR	Homo sapiens	aryl hydrocarbon receptor repressor(AHRR)
221532_s_at	SKIC8	Homo sapiens	SKI8 subunit of superkiller complex(SKIC8)
205100_at	GFPT2	Homo sapiens	glutamine-fructose-6-phosphate transaminase 2(GFPT2)
227029_at	FAM177A1	Homo sapiens	family with sequence similarity 177 member A1(FAM177A1)
203584_at	EMC2	Homo sapiens	ER membrane protein complex subunit 2(EMC2)
200929_at	TMED10	Homo sapiens	transmembrane p24 trafficking protein 10(TMED10)
205037_at	IFT27	Homo sapiens	intraflagellar transport 27(IFT27)
204032_at	BCAR3	Homo sapiens	BCAR3 adaptor protein, NSP family member(BCAR3)
209901_x_at	AIF1	Homo sapiens	allograft inflammatory factor 1(AIF1)
201963_at	ACSL1	Homo sapiens	acyl-CoA synthetase long chain family member 1(ACSL1)
215416_s_at	STOML2	Homo sapiens	stomatin like 2(STOML2)
223222_at	SLC25A19	Homo sapiens	solute carrier family 25 member 19(SLC25A19)
201322_at	ATP5F1B	Homo sapiens	ATP synthase F1 subunit beta(ATP5F1B)
235046_at	INPP4B	Homo sapiens	inositol polyphosphate-4-phosphatase type II B(INPP4B)
211547_s_at	PAFAH1B1	Homo sapiens	platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)
200713_s_at	MAPRE1	Homo sapiens	microtubule associated protein RP/EB family member 1(MAPRE1)
201435_s_at	EIF4E	Homo sapiens	eukaryotic translation initiation factor 4E(EIF4E)
226545_at	CD109	Homo sapiens	CD109 molecule(CD109)
206683_at	ZNF165	Homo sapiens	zinc finger protein 165(ZNF165)
220607_x_at	NELFCD	Homo sapiens	negative elongation factor complex member C/D(NELFCD)
238590_x_at	TMEM107	Homo sapiens	transmembrane protein 107(TMEM107)
219340_s_at	CLN8	Homo sapiens	CLN8 transmembrane ER and ERGIC protein(CLN8)
227970_at	GPR157	Homo sapiens	G protein-coupled receptor 157(GPR157)
202523_s_at	SPOCK2	Homo sapiens	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2(SPOCK2)
213111_at	PIKFYVE	Homo sapiens	phosphoinositide kinase, FYVE-type zinc finger containing(PIKFYVE)
218343_s_at	GTF3C3	Homo sapiens	general transcription factor IIIC subunit 3(GTF3C3)
200827_at	PLOD1	Homo sapiens	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1(PLOD1)
211469_s_at	CXCR6	Homo sapiens	C-X-C motif chemokine receptor 6(CXCR6)
56197_at	TMEM256-PLSCR3	Homo sapiens	TMEM256-PLSCR3 readthrough (NMD candidate)(TMEM256-PLSCR3)
229498_at	MBNL3	Homo sapiens	muscleblind like splicing regulator 3(MBNL3)
231925_at	P2RY1	Homo sapiens	purinergic receptor P2Y1(P2RY1)
214022_s_at	IFITM1	Homo sapiens	interferon induced transmembrane protein 1(IFITM1)
203738_at	C5orf22	Homo sapiens	chromosome 5 open reading frame 22(C5orf22)
211954_s_at	IPO5	Homo sapiens	importin 5(IPO5)
201212_at	LGMN	Homo sapiens	legumain(LGMN)
206958_s_at	UPF3A	Homo sapiens	UPF3A regulator of nonsense mediated mRNA decay(UPF3A)
208631_s_at	HADHA	Homo sapiens	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha(HADHA)
209004_s_at	FBXL5	Homo sapiens	F-box and leucine rich repeat protein 5(FBXL5)
210835_s_at	CTBP2	Homo sapiens	C-terminal binding protein 2(CTBP2)
212731_at	ANKRD46	Homo sapiens	ankyrin repeat domain 46(ANKRD46)
233072_at	NTNG2	Homo sapiens	netrin G2(NTNG2)
218025_s_at	ECI2	Homo sapiens	enoyl-CoA delta isomerase 2(ECI2)
210004_at	OLR1	Homo sapiens	oxidized low density lipoprotein receptor 1(OLR1)
209574_s_at	LDLRAD4	Homo sapiens	low density lipoprotein receptor class A domain containing 4(LDLRAD4)
201458_s_at	BUB3	Homo sapiens	BUB3 mitotic checkpoint protein(BUB3)
205133_s_at	HSPE1	Homo sapiens	heat shock protein family E (Hsp10) member 1(HSPE1)
211974_x_at	RBPJ	Homo sapiens	recombination signal binding protein for immunoglobulin kappa J region(RBPJ)
202413_s_at	USP1	Homo sapiens	ubiquitin specific peptidase 1(USP1)
218170_at	ISOC1	Homo sapiens	isochorismatase domain containing 1(ISOC1)
221748_s_at	TNS1	Homo sapiens	tensin 1(TNS1)
213716_s_at	SECTM1	Homo sapiens	secreted and transmembrane 1(SECTM1)
206095_s_at	SRSF10	Homo sapiens	serine and arginine rich splicing factor 10(SRSF10)
202123_s_at	ABL1	Homo sapiens	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)
225186_at	RAPH1	Homo sapiens	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1(RAPH1)
202627_s_at	SERPINE1	Homo sapiens	serpin family E member 1(SERPINE1)
201563_at	SORD	Homo sapiens	sorbitol dehydrogenase(SORD)
210517_s_at	AKAP12	Homo sapiens	A-kinase anchoring protein 12(AKAP12)
202843_at	DNAJB9	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B9(DNAJB9)
225339_at	SPAG9	Homo sapiens	sperm associated antigen 9(SPAG9)
200597_at	EIF3A	Homo sapiens	eukaryotic translation initiation factor 3 subunit A(EIF3A)
201572_x_at	DCTD	Homo sapiens	dCMP deaminase(DCTD)
1554240_a_at	ITGAL	Homo sapiens	integrin subunit alpha L(ITGAL)
219257_s_at	SPHK1	Homo sapiens	sphingosine kinase 1(SPHK1)
1552701_a_at	CARD16	Homo sapiens	caspase recruitment domain family member 16(CARD16)
218562_s_at	MACO1	Homo sapiens	macoilin 1(MACO1)
200052_s_at	ILF2	Homo sapiens	interleukin enhancer binding factor 2(ILF2)
218153_at	CARS2	Homo sapiens	cysteinyl-tRNA synthetase 2, mitochondrial(CARS2)
218692_at	SYBU	Homo sapiens	syntabulin(SYBU)
201389_at	ITGA5	Homo sapiens	integrin subunit alpha 5(ITGA5)
216241_s_at	TCEA1	Homo sapiens	transcription elongation factor A1(TCEA1)
226000_at	CTTNBP2NL	Homo sapiens	CTTNBP2 N-terminal like(CTTNBP2NL)
213465_s_at	PPP1R7	Homo sapiens	protein phosphatase 1 regulatory subunit 7(PPP1R7)
208846_s_at	VDAC3	Homo sapiens	voltage dependent anion channel 3(VDAC3)
202491_s_at	ELP1	Homo sapiens	elongator acetyltransferase complex subunit 1(ELP1)
1568629_s_at	PIK3R2	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 2(PIK3R2)
204892_x_at	EEF1A1	Homo sapiens	eukaryotic translation elongation factor 1 alpha 1(EEF1A1)
204690_at	STX8	Homo sapiens	syntaxin 8(STX8)
217927_at	SPCS1	Homo sapiens	signal peptidase complex subunit 1(SPCS1)
203966_s_at	PPM1A	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1A(PPM1A)
204134_at	PDE2A	Homo sapiens	phosphodiesterase 2A(PDE2A)
226482_s_at	TSTD1	Homo sapiens	thiosulfate sulfurtransferase like domain containing 1(TSTD1)
203376_at	CDC40	Homo sapiens	cell division cycle 40(CDC40)
208777_s_at	PSMD11	Homo sapiens	proteasome 26S subunit, non-ATPase 11(PSMD11)
219709_x_at	ANTKMT	Homo sapiens	adenine nucleotide translocase lysine methyltransferase(ANTKMT)
208802_at	SRP72	Homo sapiens	signal recognition particle 72(SRP72)
205790_at	SKAP1	Homo sapiens	src kinase associated phosphoprotein 1(SKAP1)
209478_at	CENPX	Homo sapiens	centromere protein X(CENPX)
201343_at	UBE2D2	Homo sapiens	ubiquitin conjugating enzyme E2 D2(UBE2D2)
242224_at	GPATCH2	Homo sapiens	G-patch domain containing 2(GPATCH2)
206675_s_at	SKIL	Homo sapiens	SKI like proto-oncogene(SKIL)
207098_s_at	MFN1	Homo sapiens	mitofusin 1(MFN1)
201912_s_at	GSPT1	Homo sapiens	G1 to S phase transition 1(GSPT1)
217770_at	PIGT	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class T(PIGT)
218815_s_at	TMEM51	Homo sapiens	transmembrane protein 51(TMEM51)
1566129_at	LIMS1	Homo sapiens	LIM zinc finger domain containing 1(LIMS1)
237753_at	IL21R	Homo sapiens	interleukin 21 receptor(IL21R)
236026_at	GPATCH2	Homo sapiens	G-patch domain containing 2(GPATCH2)
216274_s_at	SEC11A	Homo sapiens	SEC11 homolog A, signal peptidase complex subunit(SEC11A)
226629_at	SLC43A2	Homo sapiens	solute carrier family 43 member 2(SLC43A2)
217837_s_at	RNF103-CHMP3	Homo sapiens	RNF103-CHMP3 readthrough(RNF103-CHMP3)
212154_at	SDC2	Homo sapiens	syndecan 2(SDC2)
201157_s_at	NMT1	Homo sapiens	N-myristoyltransferase 1(NMT1)
212160_at	XPOT	Homo sapiens	exportin for tRNA(XPOT)
221253_s_at	BLOC1S5-TXNDC5	Homo sapiens	BLOC1S5-TXNDC5 readthrough (NMD candidate)(BLOC1S5-TXNDC5)
216942_s_at	CD58	Homo sapiens	CD58 molecule(CD58)
239719_at	CD109	Homo sapiens	CD109 molecule(CD109)
224949_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
209573_s_at	LDLRAD4	Homo sapiens	low density lipoprotein receptor class A domain containing 4(LDLRAD4)
203411_s_at	LMNA	Homo sapiens	lamin A/C(LMNA)
201581_at	TMX4	Homo sapiens	thioredoxin related transmembrane protein 4(TMX4)
214683_s_at	CLK1	Homo sapiens	CDC like kinase 1(CLK1)
205027_s_at	MAP3K8	Homo sapiens	mitogen-activated protein kinase kinase kinase 8(MAP3K8)
202139_at	AKR7A2	Homo sapiens	aldo-keto reductase family 7 member A2(AKR7A2)
212086_x_at	LMNA	Homo sapiens	lamin A/C(LMNA)
204255_s_at	VDR	Homo sapiens	vitamin D receptor(VDR)
205376_at	INPP4B	Homo sapiens	inositol polyphosphate-4-phosphatase type II B(INPP4B)
202547_s_at	ARHGEF7	Homo sapiens	Rho guanine nucleotide exchange factor 7(ARHGEF7)
204283_at	FARS2	Homo sapiens	phenylalanyl-tRNA synthetase 2, mitochondrial(FARS2)
207785_s_at	RBPJ	Homo sapiens	recombination signal binding protein for immunoglobulin kappa J region(RBPJ)
201191_at	PITPNA	Homo sapiens	phosphatidylinositol transfer protein alpha(PITPNA)
203156_at	AKAP11	Homo sapiens	A-kinase anchoring protein 11(AKAP11)
217875_s_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
209694_at	PTS	Homo sapiens	6-pyruvoyltetrahydropterin synthase(PTS)
209091_s_at	SH3GLB1	Homo sapiens	SH3 domain containing GRB2 like, endophilin B1(SH3GLB1)
202610_s_at	MED14	Homo sapiens	mediator complex subunit 14(MED14)
203261_at	DCTN6	Homo sapiens	dynactin subunit 6(DCTN6)
201176_s_at	ARCN1	Homo sapiens	archain 1(ARCN1)
222449_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
202169_s_at	AASDHPPT	Homo sapiens	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase(AASDHPPT)
203909_at	SLC9A6	Homo sapiens	solute carrier family 9 member A6(SLC9A6)
217724_at	SERBP1	Homo sapiens	SERPINE1 mRNA binding protein 1(SERBP1)
208860_s_at	ATRX	Homo sapiens	ATRX chromatin remodeler(ATRX)
213825_at	OLIG2	Homo sapiens	oligodendrocyte transcription factor 2(OLIG2)
209928_s_at	MSC	Homo sapiens	musculin(MSC)
202304_at	FNDC3A	Homo sapiens	fibronectin type III domain containing 3A(FNDC3A)
208841_s_at	G3BP2	Homo sapiens	G3BP stress granule assembly factor 2(G3BP2)
227410_at	FAM43A	Homo sapiens	family with sequence similarity 43 member A(FAM43A)
209993_at	ABCB1	Homo sapiens	ATP binding cassette subfamily B member 1(ABCB1)
212544_at	ZNHIT3	Homo sapiens	zinc finger HIT-type containing 3(ZNHIT3)
221246_x_at	TNS1	Homo sapiens	tensin 1(TNS1)
209318_x_at	PLAGL1	Homo sapiens	PLAG1 like zinc finger 1(PLAGL1)
213325_at	NECTIN3	Homo sapiens	nectin cell adhesion molecule 3(NECTIN3)
213291_s_at	UBE3A	Homo sapiens	ubiquitin protein ligase E3A(UBE3A)
203420_at	FAM8A1	Homo sapiens	family with sequence similarity 8 member A1(FAM8A1)
208638_at	PDIA6	Homo sapiens	protein disulfide isomerase family A member 6(PDIA6)
216180_s_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
210024_s_at	UBE2E3	Homo sapiens	ubiquitin conjugating enzyme E2 E3(UBE2E3)
221482_s_at	ARPP19	Homo sapiens	cAMP regulated phosphoprotein 19(ARPP19)
203102_s_at	MGAT2	Homo sapiens	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase(MGAT2)
222450_at	PMEPA1	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)
222874_s_at	CLN8	Homo sapiens	CLN8 transmembrane ER and ERGIC protein(CLN8)
221914_at	SYN1	Homo sapiens	synapsin I(SYN1)
200726_at	PPP1CC	Homo sapiens	protein phosphatase 1 catalytic subunit gamma(PPP1CC)
223402_at	DUSP23	Homo sapiens	dual specificity phosphatase 23(DUSP23)
201078_at	TM9SF2	Homo sapiens	transmembrane 9 superfamily member 2(TM9SF2)
211452_x_at	LRRFIP1	Homo sapiens	LRR binding FLII interacting protein 1(LRRFIP1)
214435_x_at	RALA	Homo sapiens	RAS like proto-oncogene A(RALA)
217814_at	CCDC47	Homo sapiens	coiled-coil domain containing 47(CCDC47)
209340_at	UAP1	Homo sapiens	UDP-N-acetylglucosamine pyrophosphorylase 1(UAP1)
215952_s_at	OAZ1	Homo sapiens	ornithine decarboxylase antizyme 1(OAZ1)
208787_at	MRPL3	Homo sapiens	mitochondrial ribosomal protein L3(MRPL3)
214583_at	DDI2	Homo sapiens	DNA damage inducible 1 homolog 2(DDI2)
211666_x_at	RPL3	Homo sapiens	ribosomal protein L3(RPL3)
201339_s_at	SCP2	Homo sapiens	sterol carrier protein 2(SCP2)
212899_at	CDK19	Homo sapiens	cyclin dependent kinase 19(CDK19)
209122_at	PLIN2	Homo sapiens	perilipin 2(PLIN2)
219449_s_at	TMEM70	Homo sapiens	transmembrane protein 70(TMEM70)
227639_at	PIGK	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class K(PIGK)
1553723_at	ADGRG3	Homo sapiens	adhesion G protein-coupled receptor G3(ADGRG3)
208675_s_at	DDOST	Homo sapiens	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit(DDOST)
204992_s_at	PFN2	Homo sapiens	profilin 2(PFN2)
204688_at	SGCE	Homo sapiens	sarcoglycan epsilon(SGCE)
201135_at	ECHS1	Homo sapiens	enoyl-CoA hydratase, short chain 1(ECHS1)
200657_at	SLC25A5	Homo sapiens	solute carrier family 25 member 5(SLC25A5)
227817_at	PRKCB	Homo sapiens	protein kinase C beta(PRKCB)
212352_s_at	TMED10	Homo sapiens	transmembrane p24 trafficking protein 10(TMED10)
209325_s_at	RGS16	Homo sapiens	regulator of G protein signaling 16(RGS16)
202433_at	SLC35B1	Homo sapiens	solute carrier family 35 member B1(SLC35B1)
238319_at	PRKAG2-AS2	Homo sapiens	PRKAG2 antisense RNA 2(PRKAG2-AS2)
205825_at	PCSK1	Homo sapiens	proprotein convertase subtilisin/kexin type 1(PCSK1)
219532_at	ELOVL4	Homo sapiens	ELOVL fatty acid elongase 4(ELOVL4)
218694_at	ARMCX1	Homo sapiens	armadillo repeat containing X-linked 1(ARMCX1)
230345_at	SEMA7A	Homo sapiens	semaphorin 7A (John Milton Hagen blood group)(SEMA7A)
214004_s_at	VGLL4	Homo sapiens	vestigial like family member 4(VGLL4)
212230_at	PLPP3	Homo sapiens	phospholipid phosphatase 3(PLPP3)
1554600_s_at	LMNA	Homo sapiens	lamin A/C(LMNA)
214167_s_at	RPLP0	Homo sapiens	ribosomal protein lateral stalk subunit P0(RPLP0)
227378_x_at	METTL26	Homo sapiens	methyltransferase like 26(METTL26)
210612_s_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
207062_at	IAPP	Homo sapiens	islet amyloid polypeptide(IAPP)
211668_s_at	PLAU	Homo sapiens	plasminogen activator, urokinase(PLAU)
203109_at	UBE2M	Homo sapiens	ubiquitin conjugating enzyme E2 M(UBE2M)
208804_s_at	SRSF6	Homo sapiens	serine and arginine rich splicing factor 6(SRSF6)
204392_at	CAMK1	Homo sapiens	calcium/calmodulin dependent protein kinase I(CAMK1)
210981_s_at	GRK6	Homo sapiens	G protein-coupled receptor kinase 6(GRK6)
212566_at	MAP4	Homo sapiens	microtubule associated protein 4(MAP4)
224415_s_at	HINT2	Homo sapiens	histidine triad nucleotide binding protein 2(HINT2)
224934_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
221737_at	GNA12	Homo sapiens	G protein subunit alpha 12(GNA12)
222127_s_at	EXOC1	Homo sapiens	exocyst complex component 1(EXOC1)
212648_at	DHX29	Homo sapiens	DExH-box helicase 29(DHX29)
208943_s_at	SEC62	Homo sapiens	SEC62 homolog, preprotein translocation factor(SEC62)
224368_s_at	NDRG3	Homo sapiens	NDRG family member 3(NDRG3)
206302_s_at	NUDT4	Homo sapiens	nudix hydrolase 4(NUDT4)
204985_s_at	TRAPPC6A	Homo sapiens	trafficking protein particle complex subunit 6A(TRAPPC6A)
216768_x_at	TTC38	Homo sapiens	tetratricopeptide repeat domain 38(TTC38)
213246_at	LYSET	Homo sapiens	lysosomal enzyme trafficking factor(LYSET)
209311_at	BCL2L2	Homo sapiens	BCL2 like 2(BCL2L2)
37549_g_at	BBS9	Homo sapiens	Bardet-Biedl syndrome 9(BBS9)
210672_s_at	NPRL3	Homo sapiens	NPR3 like, GATOR1 complex subunit(NPRL3)
228536_at	PRMT9	Homo sapiens	protein arginine methyltransferase 9(PRMT9)
217751_at	GSTK1	Homo sapiens	glutathione S-transferase kappa 1(GSTK1)
206974_at	CXCR6	Homo sapiens	C-X-C motif chemokine receptor 6(CXCR6)
226710_at	C8orf82	Homo sapiens	chromosome 8 open reading frame 82(C8orf82)
202351_at	ITGAV	Homo sapiens	integrin subunit alpha V(ITGAV)
201762_s_at	PSME2	Homo sapiens	proteasome activator subunit 2(PSME2)
201301_s_at	ANXA4	Homo sapiens	annexin A4(ANXA4)
212270_x_at	RPL17-C18orf32	Homo sapiens	RPL17-C18orf32 readthrough(RPL17-C18orf32)
201529_s_at	RPA1	Homo sapiens	replication protein A1(RPA1)
219911_s_at	SLCO4A1	Homo sapiens	solute carrier organic anion transporter family member 4A1(SLCO4A1)
207453_s_at	DNAJB5	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B5(DNAJB5)
232746_at	ACKR3	Homo sapiens	atypical chemokine receptor 3(ACKR3)
217196_s_at	CAMSAP2	Homo sapiens	calmodulin regulated spectrin associated protein family member 2(CAMSAP2)
214658_at	TMED7	Homo sapiens	transmembrane p24 trafficking protein 7(TMED7)
211113_s_at	ABCG1	Homo sapiens	ATP binding cassette subfamily G member 1(ABCG1)
202842_s_at	DNAJB9	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B9(DNAJB9)
204417_at	GALC	Homo sapiens	galactosylceramidase(GALC)
200883_at	UQCRC2	Homo sapiens	ubiquinol-cytochrome c reductase core protein 2(UQCRC2)
210665_at	TFPI	Homo sapiens	tissue factor pathway inhibitor(TFPI)
220642_x_at	GPR89B	Homo sapiens	G protein-coupled receptor 89B(GPR89B)
215438_x_at	GSPT1	Homo sapiens	G1 to S phase transition 1(GSPT1)
203831_at	R3HDM2	Homo sapiens	R3H domain containing 2(R3HDM2)
211086_x_at	NEK1	Homo sapiens	NIMA related kinase 1(NEK1)
200903_s_at	AHCY	Homo sapiens	adenosylhomocysteinase(AHCY)
210296_s_at	PEX2	Homo sapiens	peroxisomal biogenesis factor 2(PEX2)
202061_s_at	SEL1L	Homo sapiens	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase(SEL1L)
201894_s_at	SSR1	Homo sapiens	signal sequence receptor subunit 1(SSR1)
204472_at	GEM	Homo sapiens	GTP binding protein overexpressed in skeletal muscle(GEM)
1554466_a_at	METTL26	Homo sapiens	methyltransferase like 26(METTL26)
201832_s_at	USO1	Homo sapiens	USO1 vesicle transport factor(USO1)
221423_s_at	YIPF5	Homo sapiens	Yip1 domain family member 5(YIPF5)
212537_x_at	RPL17-C18orf32	Homo sapiens	RPL17-C18orf32 readthrough(RPL17-C18orf32)
202069_s_at	IDH3A	Homo sapiens	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha(IDH3A)
201095_at	DAP	Homo sapiens	death associated protein(DAP)
223567_at	SEMA6B	Homo sapiens	semaphorin 6B(SEMA6B)
1562749_at	PRKAG2-AS2	Homo sapiens	PRKAG2 antisense RNA 2(PRKAG2-AS2)
211744_s_at	CD58	Homo sapiens	CD58 molecule(CD58)
203583_at	UNC50	Homo sapiens	unc-50 inner nuclear membrane RNA binding protein(UNC50)
219140_s_at	RBP4	Homo sapiens	retinol binding protein 4(RBP4)
232687_at	GPRIN3	Homo sapiens	GPRIN family member 3(GPRIN3)
211985_s_at	CALM1	Homo sapiens	calmodulin 1(CALM1)
204567_s_at	ABCG1	Homo sapiens	ATP binding cassette subfamily G member 1(ABCG1)
211569_s_at	HADH	Homo sapiens	hydroxyacyl-CoA dehydrogenase(HADH)
201601_x_at	IFITM2	Homo sapiens	interferon induced transmembrane protein 2(IFITM2)
202628_s_at	SERPINE1	Homo sapiens	serpin family E member 1(SERPINE1)
217127_at	CTH	Homo sapiens	cystathionine gamma-lyase(CTH)
218191_s_at	LMBRD1	Homo sapiens	LMBR1 domain containing 1(LMBRD1)
210027_s_at	APEX1	Homo sapiens	apurinic/apyrimidinic endodeoxyribonuclease 1(APEX1)
204136_at	COL7A1	Homo sapiens	collagen type VII alpha 1 chain(COL7A1)
200814_at	PSME1	Homo sapiens	proteasome activator subunit 1(PSME1)
217964_at	TTC19	Homo sapiens	tetratricopeptide repeat domain 19(TTC19)
204744_s_at	IARS1	Homo sapiens	isoleucyl-tRNA synthetase 1(IARS1)
201809_s_at	ENG	Homo sapiens	endoglin(ENG)
201302_at	ANXA4	Homo sapiens	annexin A4(ANXA4)
205466_s_at	HS3ST1	Homo sapiens	heparan sulfate-glucosamine 3-sulfotransferase 1(HS3ST1)
201916_s_at	SEC63	Homo sapiens	SEC63 homolog, protein translocation regulator(SEC63)
216789_at	TMEM92-AS1	Homo sapiens	TMEM92 antisense RNA 1(TMEM92-AS1)
220012_at	ERO1B	Homo sapiens	endoplasmic reticulum oxidoreductase 1 beta(ERO1B)
203269_at	NSMAF	Homo sapiens	neutral sphingomyelinase activation associated factor(NSMAF)
226099_at	ELL2	Homo sapiens	elongation factor for RNA polymerase II 2(ELL2)
238569_at	GABBR1	Homo sapiens	gamma-aminobutyric acid type B receptor subunit 1(GABBR1)
209476_at	TMX1	Homo sapiens	thioredoxin related transmembrane protein 1(TMX1)
1563745_a_at	ZMIZ1-AS1	Homo sapiens	ZMIZ1 antisense RNA 1(ZMIZ1-AS1)
242482_at	PRKAR1A	Homo sapiens	protein kinase cAMP-dependent type I regulatory subunit alpha(PRKAR1A)
213310_at	AGO2	Homo sapiens	argonaute RISC catalytic component 2(AGO2)
211833_s_at	BAX	Homo sapiens	BCL2 associated X, apoptosis regulator(BAX)
209610_s_at	SLC1A4	Homo sapiens	solute carrier family 1 member 4(SLC1A4)
211984_at	CALM1	Homo sapiens	calmodulin 1(CALM1)
208510_s_at	PPARG	Homo sapiens	peroxisome proliferator activated receptor gamma(PPARG)
238079_at	TPM3	Homo sapiens	tropomyosin 3(TPM3)
221476_s_at	RPL15	Homo sapiens	ribosomal protein L15(RPL15)
213095_x_at	AIF1	Homo sapiens	allograft inflammatory factor 1(AIF1)
235916_at	YPEL4	Homo sapiens	yippee like 4(YPEL4)
212828_at	SYNJ2	Homo sapiens	synaptojanin 2(SYNJ2)
203108_at	GPRC5A	Homo sapiens	G protein-coupled receptor class C group 5 member A(GPRC5A)
