From	To	Species	Gene Name
1556643_at	BISPR	Homo sapiens	BST2 interferon stimulated positive regulator(BISPR)
204616_at	UCHL3	Homo sapiens	ubiquitin C-terminal hydrolase L3(UCHL3)
219695_at	SMPD3	Homo sapiens	sphingomyelin phosphodiesterase 3(SMPD3)
227408_s_at	SNX25	Homo sapiens	sorting nexin 25(SNX25)
220013_at	EPHX3	Homo sapiens	epoxide hydrolase 3(EPHX3)
204995_at	CDK5R1	Homo sapiens	cyclin dependent kinase 5 regulatory subunit 1(CDK5R1)
236646_at	TMEM52B	Homo sapiens	transmembrane protein 52B(TMEM52B)
224204_x_at	BMAL2	Homo sapiens	basic helix-loop-helix ARNT like 2(BMAL2)
211535_s_at	FGFR1	Homo sapiens	fibroblast growth factor receptor 1(FGFR1)
222630_at	RFX7	Homo sapiens	regulatory factor X7(RFX7)
213475_s_at	ITGAL	Homo sapiens	integrin subunit alpha L(ITGAL)
212089_at	LMNA	Homo sapiens	lamin A/C(LMNA)
212913_at	MSH5-SAPCD1	Homo sapiens	MSH5-SAPCD1 readthrough (NMD candidate)(MSH5-SAPCD1)
201804_x_at	TBCB	Homo sapiens	tubulin folding cofactor B(TBCB)
212295_s_at	SLC7A1	Homo sapiens	solute carrier family 7 member 1(SLC7A1)
1558882_at	HTATSF1P2	Homo sapiens	HIV-1 Tat specific factor 1 pseudogene 2(HTATSF1P2)
201437_s_at	EIF4E	Homo sapiens	eukaryotic translation initiation factor 4E(EIF4E)
205691_at	SYNGR3	Homo sapiens	synaptogyrin 3(SYNGR3)
203828_s_at	IL32	Homo sapiens	interleukin 32(IL32)
229354_at	AHRR	Homo sapiens	aryl hydrocarbon receptor repressor(AHRR)
205100_at	GFPT2	Homo sapiens	glutamine-fructose-6-phosphate transaminase 2(GFPT2)
227029_at	FAM177A1	Homo sapiens	family with sequence similarity 177 member A1(FAM177A1)
208708_x_at	EIF5	Homo sapiens	eukaryotic translation initiation factor 5(EIF5)
211906_s_at	SERPINB4	Homo sapiens	serpin family B member 4(SERPINB4)
205037_at	IFT27	Homo sapiens	intraflagellar transport 27(IFT27)
212833_at	SLC25A46	Homo sapiens	solute carrier family 25 member 46(SLC25A46)
225100_at	FBXO45	Homo sapiens	F-box protein 45(FBXO45)
228974_at	ZNF677	Homo sapiens	zinc finger protein 677(ZNF677)
207356_at	DEFB4B	Homo sapiens	defensin beta 4B(DEFB4B)
1555225_at	C1orf43	Homo sapiens	chromosome 1 open reading frame 43(C1orf43)
204032_at	BCAR3	Homo sapiens	BCAR3 adaptor protein, NSP family member(BCAR3)
209901_x_at	AIF1	Homo sapiens	allograft inflammatory factor 1(AIF1)
202595_s_at	LEPROTL1	Homo sapiens	leptin receptor overlapping transcript like 1(LEPROTL1)
223222_at	SLC25A19	Homo sapiens	solute carrier family 25 member 19(SLC25A19)
1564063_a_at	ATP11B	Homo sapiens	ATPase phospholipid transporting 11B (putative)(ATP11B)
219403_s_at	HPSE	Homo sapiens	heparanase(HPSE)
235046_at	INPP4B	Homo sapiens	inositol polyphosphate-4-phosphatase type II B(INPP4B)
211547_s_at	PAFAH1B1	Homo sapiens	platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)
224571_at	IRF2BP2	Homo sapiens	interferon regulatory factor 2 binding protein 2(IRF2BP2)
201435_s_at	EIF4E	Homo sapiens	eukaryotic translation initiation factor 4E(EIF4E)
201464_x_at	JUN	Homo sapiens	Jun proto-oncogene, AP-1 transcription factor subunit(JUN)
209772_s_at	CD24	Homo sapiens	CD24 molecule(CD24)
226545_at	CD109	Homo sapiens	CD109 molecule(CD109)
218312_s_at	ZSCAN18	Homo sapiens	zinc finger and SCAN domain containing 18(ZSCAN18)
206683_at	ZNF165	Homo sapiens	zinc finger protein 165(ZNF165)
208651_x_at	CD24	Homo sapiens	CD24 molecule(CD24)
238590_x_at	TMEM107	Homo sapiens	transmembrane protein 107(TMEM107)
219340_s_at	CLN8	Homo sapiens	CLN8 transmembrane ER and ERGIC protein(CLN8)
227970_at	GPR157	Homo sapiens	G protein-coupled receptor 157(GPR157)
202523_s_at	SPOCK2	Homo sapiens	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2(SPOCK2)
207463_x_at	PRSS3	Homo sapiens	serine protease 3(PRSS3)
204393_s_at	ACP3	Homo sapiens	acid phosphatase 3(ACP3)
203560_at	GGH	Homo sapiens	gamma-glutamyl hydrolase(GGH)
200827_at	PLOD1	Homo sapiens	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1(PLOD1)
211469_s_at	CXCR6	Homo sapiens	C-X-C motif chemokine receptor 6(CXCR6)
220322_at	IL36G	Homo sapiens	interleukin 36 gamma(IL36G)
56197_at	TMEM256-PLSCR3	Homo sapiens	TMEM256-PLSCR3 readthrough (NMD candidate)(TMEM256-PLSCR3)
229498_at	MBNL3	Homo sapiens	muscleblind like splicing regulator 3(MBNL3)
204767_s_at	FEN1	Homo sapiens	flap structure-specific endonuclease 1(FEN1)
231925_at	P2RY1	Homo sapiens	purinergic receptor P2Y1(P2RY1)
214022_s_at	IFITM1	Homo sapiens	interferon induced transmembrane protein 1(IFITM1)
201212_at	LGMN	Homo sapiens	legumain(LGMN)
213421_x_at	PRSS3	Homo sapiens	serine protease 3(PRSS3)
