From	To	Species	Gene Name
204748_at	PTGS2	Homo sapiens	prostaglandin-endoperoxide synthase 2(PTGS2)
1556643_at	BISPR	Homo sapiens	BST2 interferon stimulated positive regulator(BISPR)
220116_at	KCNN2	Homo sapiens	potassium calcium-activated channel subfamily N member 2(KCNN2)
227408_s_at	SNX25	Homo sapiens	sorting nexin 25(SNX25)
236646_at	TMEM52B	Homo sapiens	transmembrane protein 52B(TMEM52B)
211535_s_at	FGFR1	Homo sapiens	fibroblast growth factor receptor 1(FGFR1)
204972_at	OAS2	Homo sapiens	2'-5'-oligoadenylate synthetase 2(OAS2)
223125_s_at	C1orf21	Homo sapiens	chromosome 1 open reading frame 21(C1orf21)
222630_at	RFX7	Homo sapiens	regulatory factor X7(RFX7)
213475_s_at	ITGAL	Homo sapiens	integrin subunit alpha L(ITGAL)
212089_at	LMNA	Homo sapiens	lamin A/C(LMNA)
212913_at	MSH5-SAPCD1	Homo sapiens	MSH5-SAPCD1 readthrough (NMD candidate)(MSH5-SAPCD1)
201804_x_at	TBCB	Homo sapiens	tubulin folding cofactor B(TBCB)
208791_at	CLU	Homo sapiens	clusterin(CLU)
202403_s_at	COL1A2	Homo sapiens	collagen type I alpha 2 chain(COL1A2)
1558882_at	HTATSF1P2	Homo sapiens	HIV-1 Tat specific factor 1 pseudogene 2(HTATSF1P2)
201437_s_at	EIF4E	Homo sapiens	eukaryotic translation initiation factor 4E(EIF4E)
201596_x_at	KRT18	Homo sapiens	keratin 18(KRT18)
205691_at	SYNGR3	Homo sapiens	synaptogyrin 3(SYNGR3)
220334_at	RGS17	Homo sapiens	regulator of G protein signaling 17(RGS17)
203828_s_at	IL32	Homo sapiens	interleukin 32(IL32)
229354_at	AHRR	Homo sapiens	aryl hydrocarbon receptor repressor(AHRR)
205100_at	GFPT2	Homo sapiens	glutamine-fructose-6-phosphate transaminase 2(GFPT2)
227029_at	FAM177A1	Homo sapiens	family with sequence similarity 177 member A1(FAM177A1)
226603_at	SAMD9L	Homo sapiens	sterile alpha motif domain containing 9 like(SAMD9L)
211368_s_at	CASP1	Homo sapiens	caspase 1(CASP1)
227677_at	JAK3	Homo sapiens	Janus kinase 3(JAK3)
205037_at	IFT27	Homo sapiens	intraflagellar transport 27(IFT27)
204439_at	IFI44L	Homo sapiens	interferon induced protein 44 like(IFI44L)
210287_s_at	FLT1	Homo sapiens	fms related receptor tyrosine kinase 1(FLT1)
204032_at	BCAR3	Homo sapiens	BCAR3 adaptor protein, NSP family member(BCAR3)
209901_x_at	AIF1	Homo sapiens	allograft inflammatory factor 1(AIF1)
223222_at	SLC25A19	Homo sapiens	solute carrier family 25 member 19(SLC25A19)
235046_at	INPP4B	Homo sapiens	inositol polyphosphate-4-phosphatase type II B(INPP4B)
211547_s_at	PAFAH1B1	Homo sapiens	platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)
203423_at	RBP1	Homo sapiens	retinol binding protein 1(RBP1)
202086_at	MX1	Homo sapiens	MX dynamin like GTPase 1(MX1)
201435_s_at	EIF4E	Homo sapiens	eukaryotic translation initiation factor 4E(EIF4E)
226545_at	CD109	Homo sapiens	CD109 molecule(CD109)
206683_at	ZNF165	Homo sapiens	zinc finger protein 165(ZNF165)
205581_s_at	NOS3	Homo sapiens	nitric oxide synthase 3(NOS3)
40687_at	GJA4	Homo sapiens	gap junction protein alpha 4(GJA4)
238590_x_at	TMEM107	Homo sapiens	transmembrane protein 107(TMEM107)
219340_s_at	CLN8	Homo sapiens	CLN8 transmembrane ER and ERGIC protein(CLN8)
208792_s_at	CLU	Homo sapiens	clusterin(CLU)
227970_at	GPR157	Homo sapiens	G protein-coupled receptor 157(GPR157)
213524_s_at	G0S2	Homo sapiens	G0/G1 switch 2(G0S2)
202523_s_at	SPOCK2	Homo sapiens	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2(SPOCK2)
226757_at	IFIT2	Homo sapiens	interferon induced protein with tetratricopeptide repeats 2(IFIT2)
223204_at	GASK1B	Homo sapiens	golgi associated kinase 1B(GASK1B)
205680_at	MMP10	Homo sapiens	matrix metallopeptidase 10(MMP10)
200827_at	PLOD1	Homo sapiens	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1(PLOD1)
223657_at	FAM167B	Homo sapiens	family with sequence similarity 167 member B(FAM167B)
1559221_at	LINC01013	Homo sapiens	long intergenic non-protein coding RNA 1013(LINC01013)
211469_s_at	CXCR6	Homo sapiens	C-X-C motif chemokine receptor 6(CXCR6)
56197_at	TMEM256-PLSCR3	Homo sapiens	TMEM256-PLSCR3 readthrough (NMD candidate)(TMEM256-PLSCR3)
229498_at	MBNL3	Homo sapiens	muscleblind like splicing regulator 3(MBNL3)
231925_at	P2RY1	Homo sapiens	purinergic receptor P2Y1(P2RY1)
219872_at	GASK1B	Homo sapiens	golgi associated kinase 1B(GASK1B)
203148_s_at	TRIM14	Homo sapiens	tripartite motif containing 14(TRIM14)
214022_s_at	IFITM1	Homo sapiens	interferon induced transmembrane protein 1(IFITM1)
